funding_id,startup_id,funding_round,funding_amount_inr,funding_date
56,26,Series B,196681347.0,2020-09-23
57,26,Series B,38722134.0,2021-08-22
58,26,Seed,91588085.0,2023-03-27
59,26,Series A,77219923.0,2018-06-01
60,27,Series D,103204390.0,2019-10-14
61,27,Series D,236290300.0,2024-10-15
62,27,Series B,155411799.0,2016-06-19
63,28,Series D,152020612.0,2025-10-09
64,28,Series B,168213640.0,2023-05-22
65,29,Series D,165535074.0,2022-11-18
66,29,Series D,173188178.0,2021-06-07
67,30,Series D,155794228.0,2022-07-31
68,30,Seed,182832003.0,2025-01-26
69,30,Series C,155044713.0,2024-12-28
70,30,Series D,13354931.0,2025-04-19
71,31,Series A,72571978.0,2024-05-21
72,31,Seed,216006024.0,2024-04-04
73,32,Series D,206560390.0,2019-08-09
74,32,Series D,209704486.0,2020-04-28
75,33,Series D,240707408.0,2019-05-12
76,33,Series D,54412693.0,2021-10-04
77,34,Series B,131780184.0,2024-12-28
78,34,Series A,168175803.0,2021-09-20
79,34,Series D,41426076.0,2016-12-16
80,35,Series D,239316799.0,2016-04-04
81,35,Series C,92821028.0,2020-04-03
82,35,Series B,40076325.0,2022-08-24
83,36,Series B,163039707.0,2024-03-15
84,36,Series D,145946391.0,2020-01-17
85,36,Seed,63004721.0,2021-04-08
86,36,Series A,87628245.0,2020-05-02
87,37,Series C,224844394.0,2023-11-29
88,38,Series D,167231185.0,2023-07-23
89,39,Series D,174451488.0,2021-07-17
90,39,Series B,52616992.0,2024-02-17
91,39,Series B,234876912.0,2021-01-09
92,40,Seed,195620484.0,2019-02-24
93,40,Series B,109317858.0,2019-01-26
94,41,Seed,37223879.0,2024-10-15
95,41,Series B,212092849.0,2021-10-26
96,42,Seed,76233187.0,2019-03-09
97,42,Series C,212618501.0,2017-11-18
98,43,Series C,129422702.0,2025-12-28
99,43,Series A,113683040.0,2020-12-01
100,44,Series D,188717756.0,2021-08-03
101,44,Series C,132212794.0,2019-12-17
102,44,Series A,224024110.0,2018-06-23
103,45,Series C,146158863.0,2018-10-07
104,46,Seed,52566424.0,2019-02-15
105,46,Series B,66220289.0,2023-05-17
106,46,Series A,76076872.0,2014-11-19
107,47,Series C,17921746.0,2024-08-31
108,47,Seed,58615296.0,2020-04-16
109,47,Series B,9782948.0,2021-07-03
110,47,Series A,122575662.0,2025-02-11
111,48,Series B,124987553.0,2025-06-14
112,48,Series B,100746112.0,2021-12-02
113,48,Series A,95748124.0,2021-01-18
114,49,Series A,12000023.0,2021-02-09
115,49,Series C,29832084.0,2024-12-27
116,49,Seed,61286142.0,2018-01-24
117,50,Series A,154250424.0,2020-11-10
118,50,Series D,227284733.0,2022-07-09
119,50,Series A,28475443.0,2025-07-07
120,50,Series D,171433213.0,2021-02-26
121,51,Series A,235895246.0,2016-08-13
122,51,Series A,56693806.0,2021-10-15
123,51,Seed,99480339.0,2016-10-13
124,52,Series C,164762694.0,2023-08-18
125,52,Series A,164353355.0,2022-12-27
126,53,Series D,116683730.0,2017-01-17
127,54,Series B,207089680.0,2017-12-29
128,54,Series C,247896586.0,2019-12-30
129,54,Seed,169847692.0,2025-04-30
130,55,Series C,194854251.0,2025-12-23
131,55,Seed,25874416.0,2019-06-08
132,55,Series C,22857029.0,2017-11-05
133,55,Series A,108979949.0,2024-05-09
134,56,Series D,54114729.0,2016-03-03
135,56,Series D,25449882.0,2016-03-14
136,56,Series C,149270110.0,2022-10-25
137,56,Series C,72581323.0,2016-01-08
138,57,Series B,172740637.0,2025-03-05
139,58,Series D,4886985.0,2025-10-17
140,58,Series C,5484800.0,2020-05-26
141,58,Series B,142919398.0,2023-03-19
142,59,Series D,108750794.0,2023-11-08
143,59,Series B,100335729.0,2023-08-27
144,59,Series A,249453239.0,2019-04-02
145,59,Series D,154539020.0,2023-07-12
146,60,Series D,168729093.0,2022-12-22
147,60,Series D,98726384.0,2021-08-09
148,61,Series D,136229207.0,2019-05-29
149,61,Series D,158937927.0,2015-11-23
150,62,Series A,179279435.0,2024-08-11
151,62,Series A,190488599.0,2017-11-30
152,62,Series D,50073659.0,2018-08-24
153,63,Seed,40314257.0,2025-12-08
154,63,Series C,237266896.0,2024-06-07
155,64,Series B,134040023.0,2021-09-19
156,64,Series D,72936342.0,2024-07-18
157,65,Series B,231750966.0,2023-03-01
158,65,Series A,168981077.0,2024-09-30
159,66,Seed,1537878.0,2015-09-25
160,66,Series B,196518395.0,2020-05-05
161,67,Series D,218340122.0,2024-07-26
162,67,Series D,163947472.0,2024-03-20
163,67,Series A,196268477.0,2025-08-26
164,67,Series A,85696689.0,2025-10-27
165,68,Series B,237368993.0,2025-07-03
166,69,Seed,170631868.0,2024-12-27
167,69,Series C,182630643.0,2020-06-21
168,69,Series B,181901200.0,2024-05-16
169,70,Series D,25321939.0,2025-06-03
170,71,Seed,70752330.0,2021-10-02
171,71,Series D,174820483.0,2018-02-02
172,72,Series A,218830002.0,2022-12-26
173,72,Series B,96010282.0,2022-05-04
174,72,Series B,205207502.0,2024-02-22
175,73,Seed,130024251.0,2024-12-10
176,73,Seed,206898952.0,2019-11-02
177,73,Series A,100645368.0,2022-09-22
178,74,Series B,8668345.0,2025-03-16
179,74,Series B,206659707.0,2022-05-05
180,75,Series A,132514436.0,2022-12-23
181,75,Seed,112572875.0,2018-08-06
182,75,Series D,157313331.0,2018-04-26
183,76,Series A,105890391.0,2015-10-11
184,76,Series D,240717213.0,2016-12-17
185,76,Series B,4309399.0,2021-06-02
186,76,Series D,117650263.0,2019-06-08
187,77,Series B,164627881.0,2016-09-04
188,77,Series C,111459213.0,2014-03-02
189,77,Series C,184848587.0,2023-06-11
190,77,Series A,228932537.0,2024-07-01
191,78,Series D,241589058.0,2023-03-23
192,78,Series C,229916270.0,2023-07-15
193,78,Seed,82816371.0,2023-08-21
194,79,Seed,180456244.0,2023-04-14
195,79,Series D,92907756.0,2023-08-09
196,80,Seed,85640746.0,2021-11-19
197,81,Series C,190524887.0,2023-05-08
198,81,Seed,70601203.0,2022-12-14
199,82,Series B,3602985.0,2017-02-03
200,82,Series C,104208013.0,2014-12-04
201,82,Seed,241275021.0,2014-06-10
202,83,Series D,81459454.0,2019-06-07
203,84,Series D,186056574.0,2018-06-02
204,84,Series C,239621849.0,2022-11-16
205,84,Series C,32786930.0,2023-10-13
206,85,Series D,143151278.0,2018-04-05
207,85,Seed,115462713.0,2022-04-02
208,85,Series D,235807585.0,2023-11-20
209,86,Series C,23064648.0,2021-07-07
210,86,Series D,180849869.0,2024-10-18
211,86,Seed,89072512.0,2022-02-14
212,87,Series A,93386727.0,2022-10-22
213,87,Series B,68940235.0,2022-05-28
214,87,Series B,35549165.0,2021-06-07
215,87,Seed,221927692.0,2023-04-29
216,88,Series B,209005658.0,2021-06-16
217,88,Series D,138791228.0,2023-10-23
218,88,Series C,170589039.0,2021-01-16
219,88,Series A,59350549.0,2024-03-11
220,89,Series D,105330255.0,2021-10-26
221,90,Series C,234318537.0,2015-04-28
222,90,Series C,77831861.0,2025-03-02
223,90,Series C,248628487.0,2020-06-01
224,91,Seed,223228708.0,2017-04-11
225,91,Series A,82374723.0,2018-02-13
226,91,Series B,10728889.0,2025-10-10
227,92,Series B,246987091.0,2024-01-11
228,92,Series D,155108826.0,2025-11-20
229,93,Series D,216929042.0,2019-09-20
230,94,Seed,218727869.0,2021-12-06
231,95,Seed,246589695.0,2021-09-12
232,95,Series B,2455637.0,2023-02-19
233,95,Series B,73453417.0,2019-06-09
234,96,Series D,17940389.0,2015-01-31
235,97,Series B,150339733.0,2020-10-31
236,97,Series D,93783363.0,2018-12-20
237,97,Series C,206139446.0,2018-01-19
238,97,Series C,93901255.0,2020-05-27
239,98,Series A,120596569.0,2024-03-04
240,98,Series C,7681790.0,2024-06-30
241,98,Series B,77475828.0,2023-06-21
242,99,Series B,9641508.0,2022-01-23
243,99,Series A,6801213.0,2019-02-21
244,99,Series C,249865334.0,2020-10-31
245,100,Seed,223947173.0,2022-03-24
246,100,Series B,140115389.0,2022-02-16
247,101,Series C,17897326.0,2020-01-28
248,101,Series B,164307878.0,2021-06-12
249,102,Series D,55562586.0,2023-10-15
250,102,Series A,162808563.0,2025-10-21
251,103,Series B,81279157.0,2023-01-06
252,103,Series B,249837508.0,2019-12-29
253,103,Series C,90945397.0,2021-05-17
254,103,Series B,164759102.0,2022-10-31
255,104,Seed,119604954.0,2022-02-13
256,105,Series D,229172664.0,2019-08-05
257,105,Series A,181958883.0,2020-11-02
258,106,Series D,167882829.0,2025-06-13
259,106,Seed,13612522.0,2023-10-04
260,106,Series A,70713262.0,2023-01-23
261,107,Series A,10371199.0,2021-05-16
262,107,Seed,140430113.0,2015-08-21
263,107,Series C,151487934.0,2015-07-25
264,107,Series C,219289096.0,2015-04-16
265,108,Series A,223770941.0,2019-08-05
266,108,Series D,91949268.0,2019-02-20
267,108,Series B,64006393.0,2025-09-10
268,108,Seed,184464677.0,2019-06-17
269,109,Series A,130066885.0,2025-06-07
270,109,Series B,138798396.0,2023-07-06
271,110,Series B,244448747.0,2023-05-08
272,111,Series C,141272339.0,2016-02-24
273,111,Series B,21619181.0,2017-06-23
274,112,Series B,223137223.0,2025-04-02
275,112,Series B,171986466.0,2025-09-04
276,113,Series C,223504594.0,2020-04-15
277,113,Seed,180914151.0,2021-05-03
278,113,Series C,96121900.0,2019-02-13
279,113,Series A,63429715.0,2020-03-10
280,114,Seed,73182559.0,2025-12-28
281,114,Seed,219421622.0,2020-08-30
282,114,Series B,203385106.0,2020-08-10
283,115,Series D,238277057.0,2021-01-15
284,115,Series A,157341506.0,2024-12-26
285,115,Series D,227920169.0,2021-08-04
286,116,Series D,241013154.0,2018-10-04
287,116,Series A,102464134.0,2017-11-03
288,117,Seed,19304568.0,2022-05-08
289,117,Series D,142578217.0,2024-06-18
290,117,Series A,133041968.0,2024-11-23
291,117,Series C,248762692.0,2024-05-30
292,118,Series A,170122700.0,2023-08-28
293,118,Series D,220437802.0,2024-05-17
294,118,Seed,63641849.0,2023-05-21
295,119,Seed,129659996.0,2024-12-01
296,119,Series C,169725737.0,2025-03-07
297,119,Series B,110811194.0,2022-12-14
298,119,Series C,35668556.0,2024-04-22
299,120,Seed,133298291.0,2022-08-13
300,121,Series D,223152107.0,2024-07-10
301,121,Series C,125618748.0,2024-02-27
302,121,Seed,153564830.0,2024-05-19
303,122,Series D,29583645.0,2023-04-11
304,122,Series B,226059459.0,2023-08-22
305,122,Series C,167913387.0,2023-06-25
306,123,Series B,109182209.0,2021-05-23
307,123,Series A,241494125.0,2023-02-12
308,124,Series D,176131052.0,2023-05-12
309,124,Series C,66694842.0,2023-01-17
310,124,Series D,130638650.0,2024-05-30
311,124,Series B,167616893.0,2023-08-02
312,125,Series D,47229961.0,2024-10-25
313,125,Series B,4223163.0,2022-09-29
314,125,Seed,109897349.0,2025-01-24
315,126,Series D,158289168.0,2019-11-25
316,126,Series C,203537410.0,2014-07-06
317,126,Series B,178658329.0,2016-03-15
318,126,Series A,147997570.0,2023-01-15
319,127,Series C,201789292.0,2023-11-05
320,128,Series B,152620521.0,2022-11-01
321,128,Series B,20055636.0,2025-02-05
322,129,Series B,247498157.0,2017-04-27
323,130,Series D,197955250.0,2023-10-09
324,130,Series C,220236506.0,2024-09-24
325,130,Series C,30318491.0,2025-05-26
326,130,Series B,134050641.0,2021-09-25
327,131,Series D,207866863.0,2015-08-11
328,132,Series B,77872659.0,2020-11-11
329,132,Series A,20317096.0,2022-07-11
330,132,Series A,69761997.0,2019-03-09
331,133,Series A,102508995.0,2017-11-07
332,133,Seed,6986514.0,2024-10-28
333,134,Seed,76937558.0,2020-01-23
334,135,Seed,201821035.0,2022-09-16
335,135,Seed,129149103.0,2021-12-08
336,136,Series A,144359776.0,2021-09-04
337,137,Seed,172698313.0,2023-02-09
338,137,Series A,198663095.0,2025-12-07
339,138,Series D,75329551.0,2021-01-05
340,138,Series C,170917625.0,2025-09-10
341,138,Series C,228685495.0,2017-12-18
342,139,Series D,16169406.0,2024-03-02
343,139,Seed,64869863.0,2020-02-12
344,140,Series C,206031625.0,2024-05-04
345,140,Series C,155937746.0,2022-07-02
346,140,Series C,234662837.0,2025-12-20
347,140,Series B,101970832.0,2025-07-13
348,141,Series B,184898087.0,2021-04-05
349,142,Series D,200593054.0,2019-07-08
350,142,Series D,7258845.0,2024-03-02
351,142,Series D,211374479.0,2020-06-04
352,142,Seed,29457309.0,2019-07-22
353,143,Series C,13499171.0,2022-12-29
354,143,Seed,171159303.0,2022-09-21
355,144,Series D,201037252.0,2023-10-22
356,144,Series C,9815914.0,2019-12-21
357,145,Series C,75294269.0,2016-05-10
358,145,Seed,149807124.0,2019-01-23
359,146,Seed,207292367.0,2024-12-09
360,146,Series D,182226731.0,2024-11-03
361,147,Series D,75846741.0,2019-07-28
362,147,Series B,154449954.0,2025-07-04
363,148,Series B,22090326.0,2016-08-20
364,149,Series D,96031511.0,2017-08-08
365,150,Series C,193579206.0,2022-11-30
366,150,Seed,121001253.0,2023-03-31
367,151,Series D,28601147.0,2019-06-27
368,151,Series A,149669100.0,2020-01-19
369,151,Series C,46093911.0,2021-08-29
370,151,Series B,146241515.0,2025-08-24
371,152,Seed,9829766.0,2022-04-01
372,152,Series D,37963836.0,2025-01-13
373,152,Series D,116884940.0,2025-01-25
374,152,Series C,48203499.0,2020-07-13
375,153,Series B,160944304.0,2024-01-11
376,154,Seed,57401232.0,2018-08-06
377,154,Series D,20924041.0,2021-02-02
378,154,Series A,189595012.0,2016-03-26
379,155,Series C,236907754.0,2024-10-07
380,155,Series C,90510614.0,2020-03-07
381,155,Series A,34674002.0,2020-09-01
382,155,Series B,3740288.0,2022-07-08
383,156,Series D,116085561.0,2023-08-11
384,156,Series D,100809964.0,2024-07-23
385,156,Series A,24553287.0,2021-10-01
386,156,Seed,15982390.0,2025-09-29
387,157,Series B,92893927.0,2023-02-16
388,158,Series C,119318580.0,2025-02-13
389,159,Seed,144204427.0,2024-06-30
390,159,Series B,120070397.0,2021-10-18
391,159,Series C,163296554.0,2019-02-20
392,160,Series B,221395888.0,2021-06-06
393,161,Seed,65107813.0,2017-05-02
394,161,Series A,168230732.0,2016-08-04
395,161,Series C,2897069.0,2024-10-11
396,161,Series A,89711385.0,2020-07-20
397,162,Seed,43776634.0,2024-04-27
398,163,Seed,93575249.0,2018-08-17
399,163,Series C,164724661.0,2017-10-30
400,163,Series D,221698564.0,2022-04-23
401,163,Series A,8719898.0,2018-05-17
402,164,Series B,62633798.0,2023-11-02
403,165,Series D,102630798.0,2025-01-05
404,166,Series A,113540784.0,2022-02-20
405,166,Seed,156264793.0,2021-12-01
406,166,Series B,15998247.0,2025-04-26
407,167,Seed,243156040.0,2022-11-24
408,167,Series A,207000176.0,2021-05-26
409,167,Series C,15914686.0,2023-12-07
410,168,Series C,6884949.0,2025-09-09
411,168,Seed,66403347.0,2018-10-30
412,168,Series A,31899428.0,2021-09-08
413,168,Series A,194524790.0,2014-08-31
414,169,Series D,52918717.0,2020-05-11
415,169,Series B,132021930.0,2025-02-13
416,169,Seed,141517528.0,2020-12-20
417,169,Series B,239760378.0,2020-01-22
418,170,Series B,85351281.0,2017-08-23
419,171,Series D,89176092.0,2020-09-15
420,171,Seed,57003975.0,2019-10-31
421,171,Series C,55937689.0,2020-06-13
422,171,Seed,239323334.0,2025-08-25
423,172,Seed,184180077.0,2025-02-13
424,172,Series D,177083439.0,2023-12-26
425,172,Seed,89750858.0,2024-11-16
426,172,Seed,106605334.0,2023-03-31
427,173,Series D,207897628.0,2019-10-01
428,174,Series D,193660319.0,2025-08-21
429,174,Seed,243282639.0,2025-11-08
430,175,Series B,70609330.0,2021-04-23
431,175,Series C,122035420.0,2023-08-15
432,175,Series B,5455426.0,2023-09-15
433,176,Series C,139125785.0,2018-05-16
434,176,Series A,10920030.0,2025-11-16
435,176,Series D,232977799.0,2018-04-25
436,176,Series B,6251005.0,2019-02-21
437,177,Series D,235142997.0,2023-09-16
438,177,Seed,150785499.0,2025-08-11
439,177,Seed,224354773.0,2023-04-12
440,177,Series B,29663338.0,2025-03-10
441,178,Series B,50842891.0,2014-10-26
442,178,Series B,8130644.0,2014-12-04
443,178,Series D,67448386.0,2016-08-10
444,179,Series D,218442709.0,2021-06-06
445,180,Series B,84447084.0,2021-03-05
446,181,Series C,59493548.0,2025-11-21
447,181,Series A,75184060.0,2022-11-16
448,181,Series A,43399440.0,2024-01-22
449,182,Series D,214223515.0,2024-08-24
450,183,Series A,116145281.0,2018-04-02
451,183,Series C,2851360.0,2023-04-08
452,184,Series A,177474972.0,2020-02-19
453,184,Series A,39519291.0,2021-09-02
454,185,Seed,85306659.0,2025-05-17
455,186,Series C,210997292.0,2021-07-20
456,186,Series B,101225466.0,2019-11-22
457,186,Series C,214049153.0,2023-02-22
458,187,Series C,93089718.0,2021-11-07
459,187,Seed,187973515.0,2022-11-18
460,187,Seed,43362329.0,2020-01-23
461,187,Seed,165010625.0,2023-07-17
462,188,Series B,103017368.0,2020-07-06
463,189,Series C,81318211.0,2019-01-05
464,190,Series B,97320918.0,2022-01-05
465,190,Series A,88782274.0,2024-04-06
466,191,Series C,169308928.0,2023-09-15
467,191,Series C,117680664.0,2022-08-21
468,191,Seed,164618057.0,2023-10-04
469,191,Series B,152821205.0,2024-01-05
470,192,Series D,157644947.0,2023-08-06
471,193,Series D,99369426.0,2015-12-10
472,193,Series D,52852767.0,2018-01-18
473,193,Series D,158360465.0,2016-04-19
474,193,Series A,76029506.0,2015-09-28
475,194,Series B,86006643.0,2025-02-10
476,194,Seed,180958186.0,2017-04-27
477,194,Series B,77061788.0,2023-12-17
478,195,Seed,212126395.0,2020-07-29
479,195,Series A,180648904.0,2018-03-13
480,195,Series D,97102203.0,2024-08-11
481,196,Seed,103081298.0,2018-01-05
482,196,Series B,160223421.0,2021-11-19
483,196,Series C,237327594.0,2015-04-28
484,197,Series A,81682790.0,2021-10-25
485,198,Series B,101812084.0,2025-02-05
486,199,Series C,103411863.0,2022-03-18
487,199,Seed,43118979.0,2025-02-08
488,199,Series B,233908221.0,2025-12-25
489,200,Series C,106300698.0,2025-12-04
490,200,Series A,95599750.0,2024-10-08
491,200,Seed,111309253.0,2023-08-18
492,201,Series B,79116349.0,2018-06-21
493,202,Series D,44417093.0,2020-01-22
494,202,Seed,161834270.0,2025-03-02
495,203,Series C,228681805.0,2022-05-10
496,203,Series C,144571849.0,2021-06-04
497,203,Seed,43630302.0,2025-01-25
498,204,Seed,200217229.0,2015-12-08
499,204,Series A,15654721.0,2021-02-03
500,204,Series D,215735966.0,2015-03-17
501,204,Series B,3448152.0,2018-12-18
502,205,Series B,67284213.0,2019-01-24
503,205,Series D,199514367.0,2020-04-06
504,205,Seed,196559493.0,2023-10-25
505,206,Series C,165734238.0,2025-08-03
506,206,Series A,31956655.0,2020-07-02
507,207,Series B,174501489.0,2014-01-02
508,207,Series A,45421512.0,2014-11-17
509,207,Series C,159488138.0,2022-10-25
510,207,Seed,210936598.0,2017-08-22
511,208,Seed,116365395.0,2021-02-25
512,208,Series D,213959093.0,2024-03-17
513,208,Series D,135969566.0,2023-06-18
514,208,Series A,220419335.0,2024-10-21
515,209,Seed,219039760.0,2019-08-23
516,210,Seed,162196749.0,2021-10-10
517,210,Series A,215785969.0,2021-12-18
518,211,Series D,105093657.0,2019-01-26
519,211,Seed,16924898.0,2019-11-26
520,211,Series A,92192166.0,2021-06-21
521,212,Series A,213261701.0,2024-02-05
522,213,Series B,54137371.0,2024-07-25
523,213,Series A,101199116.0,2021-08-21
524,213,Series B,43070561.0,2019-11-02
525,213,Seed,170114190.0,2016-05-19
526,214,Series D,39885282.0,2018-09-09
527,214,Series D,96789421.0,2020-12-30
528,215,Series A,13843823.0,2023-11-08
529,215,Seed,153824583.0,2023-02-16
530,216,Seed,42711456.0,2018-06-27
531,216,Series A,167099100.0,2022-01-01
532,216,Series C,57052892.0,2022-07-14
533,216,Series D,236057605.0,2018-04-10
534,217,Seed,155476849.0,2021-09-14
535,217,Series C,146483378.0,2019-09-27
536,218,Seed,150465287.0,2024-10-14
537,219,Series C,49776464.0,2023-12-31
538,219,Series D,172759280.0,2015-11-25
539,219,Series A,34973025.0,2023-05-22
540,219,Seed,71580805.0,2017-08-31
541,220,Series B,97232540.0,2019-01-23
542,220,Series D,23315334.0,2019-05-31
543,220,Series B,154901351.0,2018-01-27
544,220,Series A,48118934.0,2025-07-17
545,221,Series A,130280183.0,2023-03-16
546,222,Series B,107552527.0,2015-08-04
547,223,Series A,42626336.0,2018-04-27
548,223,Series B,40784246.0,2018-07-05
549,223,Series A,17118862.0,2017-03-11
550,224,Series C,220997781.0,2025-03-08
551,224,Series D,11098795.0,2025-09-02
552,224,Series D,219954015.0,2021-09-10
553,225,Series C,16117411.0,2023-12-08
554,226,Seed,190461512.0,2020-10-12
555,226,Series C,240734733.0,2023-04-01
556,226,Series B,235603760.0,2019-12-19
557,226,Series B,123852840.0,2024-09-18
558,227,Series D,29526885.0,2025-10-30
559,227,Seed,224428580.0,2019-02-21
560,228,Series D,227457472.0,2023-12-18
561,228,Series D,217588226.0,2021-09-24
562,229,Seed,176674526.0,2022-03-17
563,229,Series B,95815684.0,2019-10-04
564,229,Series C,47160700.0,2020-11-10
565,229,Series A,122598442.0,2022-09-01
566,230,Seed,40533911.0,2022-01-25
567,230,Series B,126371577.0,2025-07-06
568,230,Series D,229026019.0,2023-08-20
569,231,Series A,82231948.0,2021-08-05
570,231,Series C,151664592.0,2020-12-20
571,231,Series B,151284315.0,2019-10-31
572,231,Series B,128093578.0,2020-07-03
573,232,Series C,127717841.0,2024-02-15
574,232,Series D,145063814.0,2024-09-13
575,232,Series B,144964502.0,2020-02-04
576,232,Seed,235675910.0,2025-01-24
577,233,Series A,51976901.0,2021-05-11
578,234,Series B,155084007.0,2014-09-07
579,234,Series D,208139287.0,2014-04-25
580,234,Series C,173858844.0,2021-09-30
581,234,Series A,222976125.0,2021-05-13
582,235,Series B,59347641.0,2019-07-09
583,235,Series A,148836647.0,2017-07-13
584,235,Series D,154563352.0,2021-09-18
585,235,Series B,103500507.0,2021-11-11
586,236,Series C,47954655.0,2025-06-16
587,236,Series A,116307757.0,2021-08-18
588,236,Series C,229204771.0,2024-03-08
589,237,Seed,152419657.0,2020-11-30
590,237,Series D,81016121.0,2021-12-13
591,237,Series D,22008950.0,2020-04-10
592,237,Series D,221287505.0,2020-04-19
593,238,Seed,136517138.0,2017-08-28
594,238,Seed,142326229.0,2017-12-12
595,239,Seed,188841202.0,2022-11-17
596,239,Series C,236933298.0,2023-02-14
597,239,Series D,7671080.0,2024-08-12
598,240,Series D,192165022.0,2019-08-12
599,241,Series A,236172058.0,2017-11-16
600,241,Series A,104112669.0,2024-09-02
601,242,Series D,242468689.0,2022-02-23
602,242,Series C,224919274.0,2024-06-03
603,242,Series D,62060925.0,2025-06-13
604,243,Series D,158088630.0,2021-01-19
605,244,Seed,198253493.0,2019-10-07
606,244,Series C,44422667.0,2022-08-29
607,245,Series A,120513009.0,2014-04-17
608,245,Series C,20968654.0,2020-02-14
609,246,Seed,194457519.0,2022-07-30
610,246,Series A,183321958.0,2021-12-19
611,247,Series A,62238994.0,2021-06-29
612,247,Series A,112693237.0,2025-09-29
613,247,Series C,104291154.0,2023-04-26
614,248,Series D,44043888.0,2025-08-04
615,249,Series C,80234782.0,2023-03-01
616,249,Seed,231244004.0,2023-04-28
617,249,Series D,236412594.0,2023-03-26
618,250,Series C,30959363.0,2022-12-31
619,251,Series C,153552371.0,2024-11-04
620,251,Seed,133440535.0,2023-12-06
621,252,Series D,249959202.0,2024-10-10
622,253,Series A,91772061.0,2024-12-31
623,253,Series C,78415055.0,2022-03-01
624,253,Series C,54349175.0,2024-07-17
625,253,Series D,225893555.0,2024-11-25
626,254,Series C,229979849.0,2022-03-11
627,254,Series D,247005216.0,2019-05-25
628,254,Series D,160876013.0,2022-12-17
629,255,Series D,112299565.0,2023-04-12
630,256,Seed,24927472.0,2017-02-05
631,256,Seed,18496396.0,2019-06-14
632,256,Series C,213821509.0,2024-08-04
633,256,Series A,40173238.0,2016-06-13
634,257,Series A,249585999.0,2025-12-02
635,257,Series B,217823566.0,2022-10-17
636,257,Series B,165174125.0,2019-01-10
637,258,Series A,174616055.0,2024-01-05
638,258,Seed,147083089.0,2021-05-09
639,258,Series D,134617177.0,2022-12-21
640,258,Series D,199181765.0,2021-10-10
641,259,Series B,164479000.0,2025-07-18
642,259,Series B,122950524.0,2019-11-17
643,259,Series D,16425341.0,2022-12-30
644,259,Seed,94716380.0,2024-07-29
645,260,Series B,11887616.0,2024-03-11
646,261,Seed,29598474.0,2021-12-10
647,262,Series C,245842275.0,2025-07-18
648,262,Series D,12758958.0,2025-07-06
649,263,Seed,63136092.0,2019-05-06
650,264,Series B,33019599.0,2018-12-10
651,265,Series A,117431295.0,2021-01-29
652,266,Seed,242540756.0,2025-08-19
653,266,Series C,39946986.0,2020-10-20
654,266,Series A,159316390.0,2024-02-05
655,267,Seed,187779649.0,2019-05-20
656,267,Series D,124246065.0,2022-12-27
657,267,Series B,192079000.0,2019-03-07
658,267,Seed,83043157.0,2018-12-31
659,268,Series D,101943668.0,2020-08-25
660,269,Series A,125993300.0,2021-06-20
661,269,Seed,78771185.0,2019-01-04
662,270,Series C,166739936.0,2024-12-28
663,270,Series A,235706227.0,2024-03-01
